player.id,age
808680,27
1646783,18
1144138,23
847938,28
181581,33
576220,35
1155625,22
888854,26
1144687,20
788284,30
1411105,21
1096517,25
134029,34
155925,31
155961,32
303258,33
358084,30
991364,25
944054,28
307082,30
1118467,25
1019061,22
754330,30
893008,29
857740,26
178963,31
999396,25
795005,28
907461,25
981483,26
1091116,21
1149011,21
904096,26
758608,30
1440948,20
138152,31
836683,27
226986,31
815890,28
39573,37
806968,28
825844,26
863600,32
135700,32
857738,26
952600,27
1407720,22
903324,27
833943,32
1002920,23
868843,29
922759,27
822459,27
881931,27
1014845,25
989056,23
973431,25
986395,23
855810,26
817957,27
906021,25
1184541,22
790108,28
975798,24
1024293,22
973436,27
803174,29
931844,26
118179,38
1471659,25
800419,27
934237,25
818391,28
580226,33
873534,27
583896,34
758168,30
897291,26
1128532,22
106337,36
1389846,22
1590918,18
